City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hithadhoo,MV,82.42,few clouds,-0.6,73.08,Scoop Guest House
4,Atuona,PF,77.83,clear sky,-9.8,-139.03,Villa Enata
5,Port Blair,IN,80.76,broken clouds,11.67,92.75,Fortune Resort Bay Island
8,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
9,Kapaa,US,84.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Cockburn Town,TC,80.6,scattered clouds,21.46,-71.14,Osprey Beach Hotel
18,Arraial Do Cabo,BR,75.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
19,Searcy,US,84.0,clear sky,35.25,-91.74,M Star Hotel Searcy
22,Cayenne,GF,82.4,few clouds,4.93,-52.33,Hôtel Le Dronmi
23,Conceicao Do Araguaia,BR,89.83,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
25,Pitimbu,BR,77.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
44,Balud,PH,82.4,overcast clouds,10.15,123.7,Pulchra Resort
45,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
54,Totness,SR,81.9,clear sky,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
56,Biak,ID,76.3,broken clouds,-0.91,122.88,Kost Ariz
57,San Patricio,US,87.8,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
58,Cabedelo,BR,77.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
60,Lorengau,PG,82.02,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
61,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
64,Bengkulu,ID,77.11,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
67,Hobyo,SO,79.5,scattered clouds,5.35,48.53,Osmani Hotel
68,Souillac,MU,75.2,broken clouds,-20.52,57.52,Bils' Villa
71,Cuamba,MZ,78.6,broken clouds,-14.8,36.54,Hotel Vision
72,Paka,MY,77.0,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
77,Kudahuvadhoo,MV,82.0,light rain,2.67,72.89,Kudahuvadhoo Retreat
79,Lahaina,US,87.8,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
83,Faanui,PF,78.62,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
87,Port Keats,AU,83.77,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
88,Banda Aceh,ID,80.89,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
92,Dwarka,IN,82.0,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
96,Kavieng,PG,83.66,broken clouds,-2.57,150.8,Nusa Island Retreat
98,Guerrero Negro,MX,75.2,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
100,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
101,Lazaro Cardenas,MX,84.9,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
102,Bambous Virieux,MU,75.2,broken clouds,-20.34,57.76,Casa Tia Villa
103,Formosa,AR,89.6,thunderstorm,-26.18,-58.18,Asterión Hotel
106,Butaritari,KI,82.06,clear sky,3.07,172.79,Isles Sunset Lodge
107,Isla Vista,US,78.01,mist,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
109,Sola,VU,84.2,broken clouds,-13.88,167.55,Leumerus Bungalows
112,Siparia,TT,86.0,scattered clouds,10.13,-61.5,Brook Gardens
113,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
115,Alofi,NU,75.2,light intensity drizzle,-19.06,-169.92,Taloa Heights
117,Slidell,US,87.8,scattered clouds,30.28,-89.78,Hampton Inn Slidell
118,Salalah,OM,80.6,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
129,Petionville,HT,82.4,light rain,18.51,-72.29,Hotel NH Haiti El Rancho
130,Port-Gentil,GA,78.51,broken clouds,-0.72,8.78,Fengshui Residence
134,Caravelas,BR,75.29,moderate rain,-17.71,-39.25,Pousada dos Navegantes
138,Padang,ID,75.33,heavy intensity rain,-0.95,100.35,Mercure Padang
139,Aracati,BR,80.35,broken clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
143,Alyangula,AU,78.8,broken clouds,-13.85,136.42,Groote Eylandt Lodge
155,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
159,Atar,MR,88.81,scattered clouds,20.52,-13.05,Oumou Elghoura
164,Dingle,PH,76.48,broken clouds,11.0,122.67,Camp Pasica
168,Lafiagi,NG,80.64,scattered clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
173,Mahebourg,MU,75.2,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
