City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Harer,ET,2020-10-19 19:11:01,9.31,42.13,58.41,55,0,3.15
1,Hilo,US,2020-10-19 19:11:01,19.73,-155.09,79.0,78,90,8.05
2,Codrington,AU,2020-10-19 19:11:01,-38.27,141.97,41.58,91,3,4.14
3,Aykhal,RU,2020-10-19 19:11:01,66.0,111.5,14.0,92,90,4.47
4,Talnakh,RU,2020-10-19 19:11:01,69.49,88.4,14.0,92,90,8.95
5,Yumen,CN,2020-10-19 19:11:01,40.28,97.2,47.16,47,0,19.01
6,Ostrovnoy,RU,2020-10-19 19:06:51,68.05,39.51,35.37,83,100,13.4
7,Avarua,CK,2020-10-19 19:11:02,-21.21,-159.78,78.8,83,0,6.93
8,Albany,US,2020-10-19 19:10:04,42.6,-73.97,60.01,73,100,5.97
9,Bandarbeyla,SO,2020-10-19 19:11:02,9.49,50.81,78.73,77,0,1.16
10,Carnarvon,AU,2020-10-19 19:11:03,-24.87,113.63,68.0,77,90,12.75
11,Vila Franca Do Campo,PT,2020-10-19 19:11:03,37.72,-25.43,57.2,87,20,3.36
12,Broken Hill,AU,2020-10-19 19:07:23,-31.95,141.43,53.6,54,61,8.05
13,Xiuyan,CN,2020-10-19 19:11:03,40.29,123.27,48.16,88,0,1.41
14,Cabo San Lucas,MX,2020-10-19 19:11:03,22.89,-109.91,91.99,70,5,8.05
15,New Norfolk,AU,2020-10-19 19:11:04,-42.78,147.06,43.0,83,87,2.57
16,Luchenza,MW,2020-10-19 19:11:04,-16.01,35.31,75.0,28,0,7.52
17,Castro,BR,2020-10-19 19:11:04,-24.79,-50.01,75.87,57,18,3.56
18,Laguna,US,2020-10-19 19:06:45,38.42,-121.42,82.0,46,1,5.82
19,Puerto Ayora,EC,2020-10-19 19:11:04,-0.74,-90.35,78.8,69,75,13.87
20,Hithadhoo,MV,2020-10-19 19:11:04,-0.6,73.08,82.76,76,100,9.78
21,Betioky,MG,2020-10-19 19:07:11,-23.72,44.38,68.54,64,0,2.06
22,Saint George,US,2020-10-19 19:11:04,37.1,-113.58,79.0,16,1,4.05
23,Cape Town,ZA,2020-10-19 19:11:05,-33.93,18.42,60.01,74,100,1.99
24,Kawalu,ID,2020-10-19 19:11:05,-7.38,108.21,72.19,91,100,1.03
25,Hervey Bay,AU,2020-10-19 19:11:05,-25.3,152.85,73.0,83,90,6.93
26,Port Alfred,ZA,2020-10-19 19:11:05,-33.59,26.89,64.47,89,12,4.85
27,Saskylakh,RU,2020-10-19 19:11:05,71.92,114.08,21.92,97,98,4.12
28,Provideniya,RU,2020-10-19 19:11:05,64.38,-173.3,32.09,89,30,4.45
29,Kavaratti,IN,2020-10-19 19:11:05,10.57,72.64,80.94,75,100,11.1
30,East London,ZA,2020-10-19 19:11:06,-33.02,27.91,66.2,82,16,9.17
31,Longyearbyen,SJ,2020-10-19 19:06:18,78.22,15.64,24.8,85,75,10.29
32,Nelson Bay,AU,2020-10-19 19:10:44,-32.72,152.15,60.01,100,90,4.7
33,Husavik,IS,2020-10-19 19:11:06,66.04,-17.34,35.6,84,75,3.78
34,Butaritari,KI,2020-10-19 19:11:06,3.07,172.79,81.99,74,93,11.81
35,Mataura,NZ,2020-10-19 19:11:06,-46.19,168.86,50.0,69,94,17.0
36,Rikitea,PF,2020-10-19 19:11:06,-23.12,-134.97,73.89,79,0,14.74
